PSR,P0,P-dot,Telescope,Freq(MHz),best_alpha,alpha_Upper_Error,alpha_Lower_Error,best_beta,beta_upper_Error,beta_lower_Error,best_phase_offset,phase_offset_upper_error,phase_offset_lower_error,best_psi_offset,psi_offset_upper_error,psi_offset_lower_error,best_chi_red,Chi_upper_error,Chi_lower_error,best_K,K_upper_error,K_lower_error,w10,w10_error,w10_center,L_I,σ_LI,V_I,σ_VI,absV_I,σ_absVI,rho,drho_up,drho_down,PW,W10_MH,all_alpha_range,category
J0151-0635,1.464664956539379,4.354844172876437e-16,MeerKAT,856-1712,110.68162756766937,6.037450334874691,5.9503878427858865,-5.663296114210542,0.3515627254476108,0.2941408913785857,11.83958066209822,0.1160219586049553,0.1262456718398503,36.67742236135269,0.3635171358499107,0.401809623246443,3.6864537032475826,0.1729494449692223,0.000229129314468,9.480498453163804,0.2268410647763357,0.2030151762111103,36.24633431085044,1.4320457937407378,11.964809384164232,0.3633348652218312,0.0019450267466886,0.0025284299934275,0.0014097704079166,0.0718595735991957,0.001413785179515,18.25441919780305,0.6666781481854271,0.4793286704197766,26.091780075587963,18.24839587749123,11.987838177660578,A
J0452-1759,0.5489442587337929,5.770657154618593e-15,MeerKAT,856-1712,73.87458231538842,2.590966070839457,2.6011438384250027,-9.349583484264528,0.1123033419999899,0.0938724585969765,-3.2618301307979096,0.0298161403565337,0.0274075160231843,-12.539837305459104,0.1262196511378999,0.1179012441562399,66.71242974145983,0.2323820639202836,0.0038078979588789,5.913265794129775,0.0212792802955759,0.0229555719918694,23.577712609970675,0.5360840509353374,-4.926686217008804,0.1814535040154431,0.0001558177816704,-0.0021596604591169,0.0001163166796055,0.0225535346760263,0.0001163489401785,15.65234703505842,0.1764646484022704,0.1928208328271435,23.84834039472751,13.453712391196232,5.19210990926446,A
J0459-0210,1.1330771746565556,1.3985642830999137e-15,MeerKAT,856-1712,61.53619941123209,8.860595697072753,8.25224228509029,2.565464360528074,0.3015683023335156,0.3007364349135657,-13.951747919353132,0.8474401343954732,1.1910350110357832,111.00317823869824,13.212445640176185,5.449343287150796,11.898162591471344,2.487668304154436,1.9094727002288376,-19.640346548908624,1.1643347054801474,1.1472355312714235,13.020527859237529,1.1073042500526773,-3.8709677419354818,0.179509265894494,0.0022703442207889,-0.0655202299581027,0.00188514139301,0.1215010929189816,0.0018945126757102,14.96731338057878,0.9859789257186178,1.2281591711732454,16.942950265394185,16.591044107036414,17.112837982163043,A
J0536-7543,1.2458562416893693,5.754004087540725e-16,MeerKAT,856-1712,143.61193299529313,1.1498118186745216,0.8583081176825544,2.1942852566775297,0.0429353611833551,0.0580946686602725,-10.641647444470124,0.0049725746670485,0.0052991726305418,16.80253912203054,0.0449712913337201,0.0423150436278483,119.62895389860655,0.2255475730330118,0.019313058859808,-15.49438593492483,0.0380434887095386,0.0249671282036398,27.096774193548384,1.2167173791368078,-10.205278592375368,0.5115584013638342,0.0003483521223799,-0.1154586311866551,0.0002738168729117,0.1162674527038518,0.0002738475830172,8.355819625070998,0.2226109933152015,0.1646103803196592,19.263348324235515,13.98475594886895,2.008119936357076,A
J0543+2329,0.2459747688900647,1.5422691027959168e-14,MeerKAT,856-1712,30.51026645889575,0.7289128075153393,0.7690520638660985,8.276080467166215,0.1962879100950321,0.2094080745671274,19.541575300014166,0.2813448902887181,0.292977812094243,-73.99130343661291,1.2102291263321945,1.2394155386135992,3.703362214795008,0.2815495968549912,0.0225331528056238,-3.5270380587816197,0.0092573246118687,0.0106890533777064,23.225806451612883,0.2402139357809797,2.991202346041053,0.5258864409030508,0.0003447461824144,-0.1119500551186697,0.0002490992843177,0.1123586466638437,0.0002491122588779,17.83669423419674,0.2902202901901844,0.3074264306401786,45.05477178095258,28.163276179779555,1.4979648713814375,A
J0614+2229,0.3349599661105701,5.944943926843433e-14,MeerKAT,856-1712,7.929006645222399,9.280644282560624,3.638220325268106,-0.7186855199459288,0.3287382794616392,0.8180993924385618,7.550607911378869,0.0347597568460926,0.0531740696198923,106.27856194103744,0.5407019116225058,0.7719581017180559,3.0237558691592628,0.3406546537844481,0.0005436152553248,10.997758817229377,0.0562063516754012,0.0283961304268238,13.724340175953069,0.3271770550098486,-0.3519061583577709,0.7662942484590732,0.0010664812671178,0.1625929676674591,0.000836248463202,0.1633105933201498,0.0008363261663774,2.0665133164049334,2.2621559114841023,0.8899712942799948,21.098995008153068,14.764684157713171,12.91886460782873,A
J0627+0649,0.3465232908462588,1.697586640050596e-15,MeerKAT,856-1712,43.38354710198528,14.670698207770757,19.100483907267144,14.400611041292269,3.8064010395901953,5.980075930150992,11.73129293414398,5.86985858233831,0.9015791547709996,-10.965898478482291,2.54806413220871,17.94640822465723,1.0506913310752506,0.3882702393555175,0.0012841559775376,-2.761874718834925,0.064008684780632,0.0700401544364988,16.187683284457464,0.3386812972940404,5.102639296187679,0.7894692199626695,0.0030429046161192,-0.0239538208175955,0.0021476480338358,0.0276529507664496,0.0021478444914246,18.286242245465267,3.520725557816877,5.014021427729736,15.074401438542804,14.722495280185033,33.7711821150379,A
J0631+1036,0.287841072949009,1.0455113438411917e-13,MeerKAT,856-1712,5.067993478810792,15.317048714548903,2.9216065190752345,0.7138434456642158,2.1247806214031275,0.4114590741895284,11.858774684279783,0.1578262905094618,0.0956454856952806,25.476794053790012,0.7289438513541278,1.1759143657486852,1.3269926556477911,0.1719121067669147,0.001242496079338,-7.090516002999232,0.1296859649249491,0.0833607894742449,25.33724340175951,0.2827219109556755,2.639296187683282,0.9237893369731628,0.0060635156680622,0.0727354548174993,0.004270703571219,0.1257946152039053,0.0042916276672714,2.173029831783272,5.779415296836743,1.007054393828788,25.055255622696215,21.888100197476255,18.238655233624137,A
J0633-2015,3.2532108384,3.82e-15,MeerKAT,856-1712,71.14211027777033,53.85302660816399,45.95524404636444,-0.9114082661144304,0.4989660069915895,0.0578678165437812,-2.0119089578896925,0.0314912968165876,0.0321012781221301,73.77989117628911,0.8983425738561124,1.086955696774936,4.953288097742894,1.7053624214118193,0.116544683760849,59.49321771717437,2.496804618010387,2.657956526781298,7.39002932551319,3.1921592805393693,-2.8152492668621676,0.4255013293253243,0.0053562308642042,0.1125585707741073,0.0047109388824336,0.1267500520366041,0.0047177122256837,4.3417559723584915,0.5309198887149378,2.251399143638359,2.539768195426349,4.49835497172907,99.80827065452844,C
J0646+0905,0.9039134709677942,7.358438424351391e-16,MeerKAT,856-1712,7.828272936251169,13.10046321894094,5.830231170403315,1.259488903975347,2.059059068243207,0.936922880590254,-5.038044385382304,0.1598937133162197,0.1433608765866436,62.126368126909256,1.21695082257164,1.2453451097419403,3.943595329441538,0.2552281643629732,0.0119878654907767,-6.196615491685319,0.0624087176774814,0.0443616706703489,16.539589442815235,0.8831270081674786,0.7038123167155419,0.3689882763951659,0.0014318677264465,-0.0408679222615298,0.0010422431397668,0.0417319485722397,0.0010422815057531,2.406175802111184,3.302559669914072,1.092688837246843,23.51311769916528,14.011651423505462,18.930694389344257,A
