Angle,I_normalized,Linear_Polarization,V_normalized,PA,PA_error,PA_filtered,PA_error_filtered,SN
-180.0,-0.020707959299829253,0.012484754683403201,0.013295855093013271,,0.0,0.0,0.0,0.0
-179.64809384164224,0.004041329246008368,0.0505564385114161,-0.00016457108051164788,-76.82922900510482,10.245802731177942,103.17077099489518,10.245802731177942,2.854940957970348
-179.29618768328447,-0.02535278141132535,0.012094595841499517,-0.012655795979909533,,0.0,0.0,0.0,0.0
-178.94428152492668,0.019192337264221596,-0.024172230784004448,0.023496160643853535,,0.0,0.0,0.0,0.0
-178.59237536656892,-0.01418394959409668,-0.020742602715130905,-0.041150059412663385,,0.0,0.0,0.0,0.0
-178.24046920821115,-0.0036541533945100707,0.017012675832067916,-0.005559327788151418,,0.0,0.0,0.0,0.0
-177.88856304985336,0.017001457856950286,-0.02253494258911764,-0.04076482570621187,,0.0,0.0,0.0,0.0
-177.5366568914956,0.0037099014448760325,-0.021415780794504218,0.006939898349426343,,0.0,0.0,0.0,0.0
-177.18475073313783,0.017896891569392993,-0.005022697012995314,-0.0012564779773732615,,0.0,0.0,0.0,0.0
-176.83284457478007,0.011318461861064236,0.030915733246181996,0.0010974018193255915,,0.0,0.0,0.0,0.0
-176.4809384164223,-0.01776798106783029,-0.023649987657192284,0.010110387730036845,,0.0,0.0,0.0,0.0
-176.1290322580645,0.02732907625790089,-0.025071219456507546,-0.01909542971831408,,0.0,0.0,0.0,0.0
-175.77712609970675,0.015349186695557532,-0.017862594247156947,0.0003190964282504718,,0.0,0.0,0.0,0.0
-175.42521994134898,-0.007627587446453713,0.02934590235591749,-0.012120682596583025,,0.0,0.0,0.0,0.0
-175.0733137829912,-0.014496639939289244,0.004065246103061868,-0.009396786723516432,,0.0,0.0,0.0,0.0
-174.72140762463343,0.025266308526466094,0.036160794714016856,0.01217310553486375,3.312632239856037,14.549818861316368,3.312632239856037,14.549818861316368,2.0420135781220536
-174.36950146627566,-0.027151337533825277,-0.02512830309955995,-0.00703276184009506,,0.0,0.0,0.0,0.0
-174.0175953079179,-0.0030900825786094443,-0.021411323766471146,-0.005456478975905419,,0.0,0.0,0.0,0.0
-173.66568914956014,0.05011433193205987,-0.023901365065566265,-0.007174653259708229,,0.0,0.0,0.0,0.0
-173.31378299120234,-0.025036895763228054,0.013329076380427343,0.020897680409797597,,0.0,0.0,0.0,0.0
-172.96187683284458,-0.01802884759403677,0.010704479069744281,-0.010965430816699453,,0.0,0.0,0.0,0.0
-172.60997067448682,0.0127532527185038,-0.00431207541266002,0.03269019541274327,,0.0,0.0,0.0,0.0
-172.25806451612902,0.018102489340669218,-0.019383478924346973,0.02320124417106853,,0.0,0.0,0.0,0.0
-171.90615835777126,0.0033244031274027182,-0.015115828712924311,-0.0200977063716337,,0.0,0.0,0.0,0.0
-171.5542521994135,0.02037534823809001,0.005950015747854496,-0.020739662695837123,,0.0,0.0,0.0,0.0
-171.20234604105573,-0.02392992301317064,-0.024862093203473677,-0.03025607357184938,,0.0,0.0,0.0,0.0
-170.85043988269797,-0.002528533056407082,-0.020730528788680685,-0.017873376137078494,,0.0,0.0,0.0,0.0
-170.49853372434018,0.0003975985301606638,0.025349982995033098,0.010921195842112095,,0.0,0.0,0.0,0.0
-170.1466275659824,0.029631192147543114,-0.01695328687840726,0.042277901484817325,,0.0,0.0,0.0,0.0
-169.79472140762465,0.0003945589982725394,-0.019578341323957922,-0.015741959319799895,,0.0,0.0,0.0,0.0
-169.44281524926686,-0.023368498307487995,0.01863180249071237,-0.03611730755788991,,0.0,0.0,0.0,0.0
-169.0909090909091,0.0005775410147083787,0.01800415197100149,0.03067520744505577,,0.0,0.0,0.0,0.0
